Variable,overall_SHAP_abs,overall_Corr,overall_Correlation_status,Cluster 1_SHAP_abs,Cluster 1_Corr,Cluster 1_Correlation_status,Cluster 0_SHAP_abs,Cluster 0_Corr,Cluster 0_Correlation_status,Cluster 2_SHAP_abs,Cluster 2_Corr,Cluster 2_Correlation_status
My work gives me a feeling of personal accomplishment.,,,,,,,0.3081455211700233,1.0,positive_correlation_with_attrition,0.1838408722959421,-0.6628787772516147,negative_correlation_with_attrition
I have a clear understanding of what is expected of me.,,,,,,,0.259063322290298,-0.9999999999999992,negative_correlation_with_attrition,,,
At Philips everyone can succeed regardless who they are or their background.,,,,,,,0.242766030403216,0.9999999999999996,positive_correlation_with_attrition,,,
My manager helps me understand what skills I need in the future.,,,,,,,0.2003665895932883,1.0,positive_correlation_with_attrition,,,
Purpose & Confidence in Future,,,,,,,0.1294583364594584,0.999999999999998,positive_correlation_with_attrition,0.1151952001055102,-0.4837197017124671,negative_correlation_with_attrition
Collaboration,,,,,,,,,,0.1307129751749904,0.6121396630314224,positive_correlation_with_attrition
My manager provides me with timely feedback that helps me improve my performance.,,,,,,,,,,0.1246130877397045,-0.4462083868873236,negative_correlation_with_attrition
Resources Skills and Empowerment,,,,,,,,,,0.1180439358391699,0.5279813497143679,positive_correlation_with_attrition
In my job I can use my skills and abilities effectively.,,,,,,,,,,0.1032688313583189,-0.2516522601416707,negative_correlation_with_attrition
Performance - Potential_Medium Performance - Top Talent Potential,,,,,,,,,,0.1018990448689533,0.8250025317428923,positive_correlation_with_attrition
PPM 2020_all statuses_5 - Outstanding,,,,,,,,,,0.0993727180513312,0.7705758237360418,positive_correlation_with_attrition
PPM 2020_all statuses_4 - Exceeds,,,,,,,,,,0.098201821679286,-0.4565471385483778,negative_correlation_with_attrition
Customer Experience Items,,,,,,,,,,0.0860792812600249,-0.4731562274041571,negative_correlation_with_attrition
